"","Var1","Var2","Freq","LABEL","BPS_NAME"
"1",1920,1,3142,"A","Laurentian-Acadian Northern Hardwoods Forest"
"2",1924,1,109,"A","Laurentian-Acadian Northern Pine(-Oak) Forest"
"3",1925,1,1302,"A","Laurentian-Acadian Pine-Hemlock-Hardwood Forest"
"4",1926,1,4500,"A","Central Appalachian Dry Oak-Pine Forest"
"5",1927,1,6,"A","Appalachian (Hemlock-)Northern Hardwood Forest"
"6",1928,1,123,"A","Acadian Low-Elevation Spruce-Fir-Hardwood Forest"
"7",1929,1,1147,"A","Acadian-Appalachian Montane Spruce-Fir Forest"
"8",1933,1,36,"A","Central Interior and Appalachian Floodplain Systems"
"9",1934,1,95,"A","Central Interior and Appalachian Riparian Systems"
"10",1936,1,16,"A","Boreal Acidic Peatland Systems"
"11",1940,1,32,"A","Laurentian-Acadian Shrub-Herbaceous Wetland Systems"
"12",1942,1,3350,"A","Laurentian-Acadian Swamp Systems"
"13",1978,1,9,"A","Laurentian-Acadian Northern Hardwoods Forest"
"14",1983,1,10,"A","Laurentian-Acadian Pine-Hemlock-Hardwood Forest"
"15",1984,1,3,"A","Central Appalachian Dry Oak-Pine Forest"
"16",1920,2,33202,"B","Laurentian-Acadian Northern Hardwoods Forest"
"17",1924,2,21592,"B","Laurentian-Acadian Northern Pine(-Oak) Forest"
"18",1925,2,5337,"B","Laurentian-Acadian Pine-Hemlock-Hardwood Forest"
"19",1926,2,28072,"B","Central Appalachian Dry Oak-Pine Forest"
"20",1927,2,10749,"B","Appalachian (Hemlock-)Northern Hardwood Forest"
"21",1928,2,421,"B","Acadian Low-Elevation Spruce-Fir-Hardwood Forest"
"22",1929,2,32582,"B","Acadian-Appalachian Montane Spruce-Fir Forest"
"23",1930,2,104,"B","Central Appalachian Pine-Oak Rocky Woodland"
"24",1933,2,17,"B","Central Interior and Appalachian Floodplain Systems"
"25",1934,2,2314,"B","Central Interior and Appalachian Riparian Systems"
"26",1935,2,333,"B","Laurentian-Acadian Floodplain Systems"
"27",1936,2,7,"B","Boreal Acidic Peatland Systems"
"28",1937,2,901,"B","Central Interior and Appalachian Swamp Systems"
"29",1940,2,815,"B","Laurentian-Acadian Shrub-Herbaceous Wetland Systems"
"30",1942,2,15207,"B","Laurentian-Acadian Swamp Systems"
"31",1978,2,32,"B","Laurentian-Acadian Northern Hardwoods Forest"
"32",1982,2,49,"B","Laurentian-Acadian Northern Pine(-Oak) Forest"
"33",1983,2,29,"B","Laurentian-Acadian Pine-Hemlock-Hardwood Forest"
"34",1984,2,16,"B","Central Appalachian Dry Oak-Pine Forest"
"35",1986,2,26,"B","Acadian Low-Elevation Spruce-Fir-Hardwood Forest"
"36",1999,2,1,"B","Laurentian-Acadian Swamp Systems"
"37",1920,3,646793,"C","Laurentian-Acadian Northern Hardwoods Forest"
"38",1924,3,1050,"C","Laurentian-Acadian Northern Pine(-Oak) Forest"
"39",1925,3,1498,"C","Laurentian-Acadian Pine-Hemlock-Hardwood Forest"
"40",1926,3,55909,"C","Central Appalachian Dry Oak-Pine Forest"
"41",1927,3,5531,"C","Appalachian (Hemlock-)Northern Hardwood Forest"
"42",1928,3,498,"C","Acadian Low-Elevation Spruce-Fir-Hardwood Forest"
"43",1929,3,74007,"C","Acadian-Appalachian Montane Spruce-Fir Forest"
"44",1930,3,2116,"C","Central Appalachian Pine-Oak Rocky Woodland"
"45",1932,3,3,"C","Northern Atlantic Coastal Plain Dune and Swale"
"46",1933,3,103,"C","Central Interior and Appalachian Floodplain Systems"
"47",1934,3,1037,"C","Central Interior and Appalachian Riparian Systems"
"48",1935,3,716,"C","Laurentian-Acadian Floodplain Systems"
"49",1936,3,211,"C","Boreal Acidic Peatland Systems"
"50",1937,3,3703,"C","Central Interior and Appalachian Swamp Systems"
"51",1938,3,2,"C","Gulf and Atlantic Coastal Plain Swamp Systems"
"52",1940,3,29,"C","Laurentian-Acadian Shrub-Herbaceous Wetland Systems"
"53",1942,3,131623,"C","Laurentian-Acadian Swamp Systems"
"54",1978,3,666,"C","Laurentian-Acadian Northern Hardwoods Forest"
"55",1983,3,4,"C","Laurentian-Acadian Pine-Hemlock-Hardwood Forest"
"56",1984,3,22,"C","Central Appalachian Dry Oak-Pine Forest"
"57",1986,3,4,"C","Acadian Low-Elevation Spruce-Fir-Hardwood Forest"
"58",1988,3,11,"C","Central Appalachian Pine-Oak Rocky Woodland"
"59",1993,3,1,"C","Laurentian-Acadian Floodplain Systems"
"60",1995,3,24,"C","Central Interior and Appalachian Swamp Systems"
"61",1999,3,58,"C","Laurentian-Acadian Swamp Systems"
"62",1925,4,228082,"D","Laurentian-Acadian Pine-Hemlock-Hardwood Forest"
"63",1930,4,256,"D","Central Appalachian Pine-Oak Rocky Woodland"
"64",1936,4,135,"D","Boreal Acidic Peatland Systems"
"65",1940,4,712,"D","Laurentian-Acadian Shrub-Herbaceous Wetland Systems"
"66",1983,4,2991,"D","Laurentian-Acadian Pine-Hemlock-Hardwood Forest"
"67",1988,4,2,"D","Central Appalachian Pine-Oak Rocky Woodland"
"68",1920,5,1394892,"E","Laurentian-Acadian Northern Hardwoods Forest"
"69",1978,5,1265,"E","Laurentian-Acadian Northern Hardwoods Forest"
"70",1920,6,579392,"UN","Laurentian-Acadian Northern Hardwoods Forest"
"71",1926,6,403,"UN","Central Appalachian Dry Oak-Pine Forest"
"72",1927,6,2162,"UN","Appalachian (Hemlock-)Northern Hardwood Forest"
"73",1928,6,13,"UN","Acadian Low-Elevation Spruce-Fir-Hardwood Forest"
"74",1929,6,4299,"UN","Acadian-Appalachian Montane Spruce-Fir Forest"
"75",1930,6,722,"UN","Central Appalachian Pine-Oak Rocky Woodland"
"76",1932,6,3,"UN","Northern Atlantic Coastal Plain Dune and Swale"
"77",1933,6,131,"UN","Central Interior and Appalachian Floodplain Systems"
"78",1935,6,550,"UN","Laurentian-Acadian Floodplain Systems"
"79",1936,6,34,"UN","Boreal Acidic Peatland Systems"
"80",1937,6,392,"UN","Central Interior and Appalachian Swamp Systems"
"81",1940,6,4787,"UN","Laurentian-Acadian Shrub-Herbaceous Wetland Systems"
"82",1942,6,105310,"UN","Laurentian-Acadian Swamp Systems"
"83",1978,6,80,"UN","Laurentian-Acadian Northern Hardwoods Forest"
"84",1999,6,21,"UN","Laurentian-Acadian Swamp Systems"
"85",1920,7,58549,"UE","Laurentian-Acadian Northern Hardwoods Forest"
"86",1924,7,2347,"UE","Laurentian-Acadian Northern Pine(-Oak) Forest"
"87",1925,7,17986,"UE","Laurentian-Acadian Pine-Hemlock-Hardwood Forest"
