"","VALUE","COUNT","EVT_NAME","EVT_FUEL_N","EVT_LF","EVT_PHYS","EVT_GP_N","EVT_ORDER","EVT_CLASS","EVT_SBCLS","acres","hectare","rel_percent","RED","GREEN","BLUE","R","G","B"
"1",7302,2390432,"Laurentian-Acadian Northern Hardwoods Forest","Tr Laurentian-Acadian Northern Hardwoods Forest","Tree","Hardwood","Yellow Birch-Sugar Maple Forest","Tree-dominated","Closed tree canopy","Deciduous closed tree canopy",531619.280133239,215138.88,62.3084849080412,0.670588,1,0.541176,"171","255","138"
"2",7374,338948,"Acadian-Appalachian Montane Spruce-Fir Forest","Tr Acadian-Appalachian Montane Spruce-Fir Forest","Tree","Conifer-Hardwood","Spruce-Fir-Hardwood Forest","Tree-dominated","Closed tree canopy","Mixed evergreen-deciduous closed tree canopy",75380.2207143316,30505.32,8.83494545864963,0.729412,0.211765,0.054902,"186","54","14"
"3",7241,144934,"Laurentian-Acadian Pine-Hemlock-Hardwood Forest","Tr Laurentian-Acadian Pine-Hemlock-Hardwood Forest","Tree","Conifer-Hardwood","Pine-Hemlock-Hardwood Forest","Tree-dominated","Closed tree canopy","Mixed evergreen-deciduous closed tree canopy",32232.5457268104,13044.06,3.77781838247733,0,0.360784,0,"0","92","0"
"4",7555,91669,"Acadian Low-Elevation Spruce-Fir-Hardwood Forest","Tr Acadian Low-Elevation Spruce-Fir-Hardwood Forest","Tree","Conifer-Hardwood","Spruce-Fir-Hardwood Forest","Tree-dominated","Closed tree canopy","Mixed evergreen-deciduous closed tree canopy",20386.6948696026,8250.21,2.38942438146545,0.729412,0.211765,0.054902,"186","54","14"
"5",7366,80765,"Laurentian-Acadian Pine-Hemlock Forest","Tr Laurentian-Acadian Pine-Hemlock Forest","Tree","Conifer","Pine-Hemlock-Hardwood Forest","Tree-dominated","Closed tree canopy","Evergreen closed tree canopy",17961.7036418359,7268.85,2.1052030694025,0,0.360784,0,"0","92","0"
"6",7299,79537,"Developed-Roads","Bau Developed-Roads","Developed","Developed-Roads","Developed-Roads","No Dominant Lifeform","No Dominant Lifeform","Developed",17688.6030156714,7158.33,2.07319428627582,0.003922,0.003922,0.003922,"1","1","1"
"7",9185,75824,"Northern Appalachian-Acadian Conifer-Hardwood Acidic Swamp","Tr Laurentian-Acadian Swamp Systems","Tree","Riparian","Atlantic Swamp Forests","Tree-dominated","Open tree canopy","Mixed evergreen-deciduous open tree canopy",16862.8516924233,6824.16,1.97641202915093,0.729412,0.211765,0.054902,"186","54","14"
"8",7977,71402,"Eastern Cool Temperate Pasture and Hayland","Dab Pasture and Hayland","Herb","Agricultural","Agricultural-Pasture and Hayland","Herbaceous / Nonvascular-dominated","Herbaceous - grassland","Annual Graminoid/Forb",15879.4225646551,6426.18,1.86114913095372,0.890196,0.831373,0.109804,"227","212","28"
"9",7373,67531,"Acadian Low-Elevation Spruce-Fir Forest","Tr Acadian Low-Elevation Spruce-Fir Forest","Tree","Conifer","Spruce-Fir-Hardwood Forest","Tree-dominated","Closed tree canopy","Evergreen closed tree canopy",15018.5328872261,6077.79,1.76024847990862,0.729412,0.211765,0.054902,"186","54","14"
"10",7240,55752,"Laurentian-Acadian Hardwood Forest","Tr Laurentian-Acadian Hardwood Forest","Tree","Hardwood","Pine-Hemlock-Hardwood Forest","Tree-dominated","Closed tree canopy","Deciduous closed tree canopy",12398.9463435849,5017.68,1.45321960657869,0,0.360784,0,"0","92","0"
