"","VALUE","COUNT","LABEL","acres","hectare","rel_percent","RED","GREEN","BLUE","R","G","B"
"1",5,1396157,"E",310497.842771927,125654.13,36.3919272180744,0,0.290196,0.301961,"0","74","77"
"2",3,925619,"C",205852.710496533,83305.71,24.1269852027149,0.788235,0.870588,0.670588,"201","222","171"
"3",6,698299,"UN",155297.959405564,62846.91,18.2017111144765,0.627451,0,0,"160","0","0"
"4",4,232178,"D",51635.1442847047,20896.02,6.05190166839266,1,0.972549,0.65098,"255","248","166"
"5",120,189338,"Urban",42107.7576194877,17040.42,4.93524346876159,0.517647,0,0.541176,"132","0","138"
"6",2,151806,"B",33760.8417390273,13662.54,3.95694245222207,0.219608,0.658824,0,"56","168","0"
"7",7,109949,"UE",24452.0690115299,9895.41,2.86590691856293,1,0,0,"255","0","0"
"8",180,89271,"Agriculture",19853.392506783,8034.39,2.32691863070179,0.87451,0.45098,1,"223","115","255"
"9",111,29001,"Water",6449.66714934542,2610.09,0.755933810632598,0,0,1,"0","0","255"
"10",1,13880,"A",3086.83769638683,1249.2,0.361793086154976,0.631373,0.388235,0.2,"161","99","51"
"11",132,949,"Barren or Sparse",211.052519731347,85.41,0.0247364293055528,0.74902,0.74902,0.74902,"191","191","191"
