"","VALUE","COUNT","CLASSNAMES","acres","hectare","rel_percent","RED","GREEN","BLUE","R","G","B"
"1",118,662250,"Tree Height = 18 meters",147280.85478618,59602.5,17.2620656560615,0.454902,0.741176,0.301961,"116","189","77"
"2",119,635108,"Tree Height = 19 meters",141244.619285075,57159.72,16.5545881384521,0.431373,0.721569,0.286275,"110","184","73"
"3",117,507347,"Tree Height = 17 meters",112831.25682628,45661.23,13.2243974698464,0.466667,0.74902,0.313725,"119","191","80"
"4",120,426743,"Tree Height = 20 meters",94905.3587225651,38406.87,11.1233909917171,0.419608,0.709804,0.278431,"107","181","71"
"5",116,321628,"Tree Height = 16 meters",71528.3454332495,28946.52,8.38348607448506,0.498039,0.768627,0.337255,"127","196","86"
"6",121,262094,"Tree Height = 21 meters",58288.3025357932,23588.46,6.83168567166443,0.396078,0.690196,0.262745,"101","176","67"
"7",115,189097,"Tree Height = 15 meters",42054.1605096297,17018.73,4.92896161474406,0.513725,0.780392,0.352941,"131","199","90"
"8",122,151034,"Tree Height = 22 meters",33589.1530717643,13593.06,3.93681966673852,0.388235,0.678431,0.25098,"99","173","64"
"9",114,107305,"Tree Height = 14 meters",23864.0575656188,9657.45,2.79698898486021,0.533333,0.8,0.368627,"136","204","94"
"10",310,83354,"Herb Height >= 1 meter",18537.4833821778,7501.86,2.17268738496844,1,0.2,0,"255","51","0"
"11",25,79537,"Developed-Roads",17688.6030156714,7158.33,2.07319428627582,0.003921,0.003921,0.003921,"1","1","1"
"12",113,61101,"Tree Height = 13 meters",13588.5353088567,5499.09,1.59264548682674,0.552941,0.811765,0.380392,"141","207","97"
"13",112,40415,"Tree Height = 12 meters",8988.07964693614,3637.35,1.05344867269116,0.572549,0.831373,0.4,"146","212","102"
"14",111,30066,"Tree Height = 11 meters",6686.51744809556,2705.94,0.783693870917544,0.588235,0.839216,0.411765,"150","214","105"
"15",11,29001,"Open Water",6449.66714934542,2610.09,0.755933810632598,0,0,1,"0","0","255"
"16",13,24782,"Developed-Upland Deciduous Forest",5511.38413486011,2230.38,0.645962266649324,0.25098,0.239216,0.658824,"64","61","168"
"17",110,24246,"Tree Height = 10 meters",5392.18060422154,2182.14,0.631991006261783,0.607843,0.858824,0.431373,"155","219","110"
"18",22,21253,"Developed - Low Intensity",4726.5534266073,1912.77,0.553976113836579,1,0.478431,0.560784,"255","122","143"
"19",16,20028,"Developed-Upland Herbaceous",4454.11998438295,1802.52,0.522045528062814,0.478431,0.556863,0.960784,"122","142","245"
"20",109,19692,"Tree Height = 9 meters",4379.39538308713,1772.28,0.513287424536296,0.627451,0.870588,0.443137,"160","222","113"
"21",15,17565,"Developed-Upland Mixed Forest",3906.36196952699,1580.85,0.45784550131932,0.4,0.466667,0.803922,"102","119","205"
"22",108,16817,"Tree Height = 8 meters",3740.01077378511,1513.53,0.438348294659095,0.658824,0.890196,0.470588,"168","227","120"
"23",230,12567,"Shrub Height >= 3.0 meters",2794.83352525168,1131.03,0.327568711362362,0.619608,0,0.12549,"158","0","32"
"24",107,11368,"Tree Height = 7 meters",2528.18234384189,1023.12,0.296315835980531,0.670588,0.901961,0.486275,"171","230","124"
"25",23,10489,"Developed - Medium Intensity",2332.69744938051,944.01,0.273404011576336,0.992157,0.172549,0.309804,"253","44","79"
"26",64,10172,"NASS-Row Crop",2262.19834637225,915.48,0.265141157951615,0.980392,1,0.466667,"250","255","119"
"27",309,8736,"Herb Height = 0.9 meter",1942.83963369131,786.24,0.227710691689472,1,0.2,0,"255","51","0"
"28",106,7415,"Tree Height = 6 meters",1649.05630538244,667.35,0.193277790622417,0.698039,0.921569,0.505882,"178","235","129"
"29",14,7102,"Developed-Upland Evergreen Forest",1579.44678096104,639.18,0.185119200134916,0.266667,0.309804,0.537255,"68","79","137"
"30",308,7098,"Herb Height = 0.8 meter",1578.55720237419,638.82,0.185014936997696,1,0.286275,0.070588,"255","73","18"
"31",17,6439,"Developed-Upland Shrubland",1431.99913018983,579.51,0.167837585140626,0.619608,0.666667,0.843137,"158","170","215"
"32",65,4625,"NASS-Close Grown Crop",1028.57524105109,416.25,0.12055425241115,1,0.929412,0.466667,"255","237","119"
"33",105,4192,"Tree Height = 5 meters",932.278359024033,377.28,0.109267767807036,0.709804,0.929412,0.521569,"181","237","133"
"34",24,2143,"Developed - High Intensity",476.591727907563,192.87,0.0558589757658584,0.678431,0,0.109804,"173","0","28"
"35",104,2106,"Tree Height = 4 meters",468.363125979154,189.54,0.0548945417465692,0.737255,0.94902,0.541176,"188","242","138"
"36",307,1676,"Herb Height = 0.7 meter",372.733427892242,150.84,0.0436862544953703,1,0.360784,0.109804,"255","92","28"
"37",301,1640,"Herb Height = 0.1 meter",364.727220610547,147.6,0.0427478862603862,1,0.8,0.4,"255","204","102"
"38",123,1384,"Tree Height = 23 meters",307.794191051828,124.56,0.0360750454782772,0.364706,0.658824,0.239216,"93","168","61"
"39",302,1264,"Herb Height = 0.2 meter",281.106833446178,113.76,0.0329471513616635,1,0.729412,0.34902,"255","186","89"
"40",215,1032,"Shrub Height = 1.5 meters",229.511275408588,92.88,0.0268998894028772,0.74902,0.392157,0.286275,"191","100","73"
"41",103,949,"Tree Height = 3 meters",211.052519731347,85.41,0.0247364293055528,0.752941,0.960784,0.556863,"192","245","142"
"42",32,936,"Quarries-Strip Mines-Gravel Pits-Well and Wind Pads",208.161389324069,84.24,0.0243975741095863,0.901961,0.909804,0.980392,"230","232","250"
"43",124,367,"Tree Height = 24 meters",81.6188353439457,33.03,0.00956614283997668,0.341176,0.65098,0.219608,"87","166","56"
"44",303,265,"Herb Height = 0.3 meter",58.9345813791433,23.85,0.00690743284085509,1,0.662745,0.301961,"255","169","77"
"45",102,234,"Tree Height = 2 meters",52.0403473310171,21.06,0.00609939352739657,0.780392,0.980392,0.576471,"199","250","147"
"46",222,185,"Shrub Height = 2.2 meters",41.1430096420435,16.65,0.00482217009644601,0.690196,0.239216,0.2,"176","61","51"
"47",306,166,"Herb Height = 0.6 meter",36.9175113544822,14.94,0.00432692019464885,1,0.439216,0.160784,"255","112","41"
