OID_,VALUE,COUNT,SNCS,EVT_AOI_CROP,S_NAME,COMM_TYPE,EVT_NAME,EVT_GP_N
0,1,5997,305626,7374,Montane Yellow Birch-Red Spruce Forest,Terrestrial,Acadian-Appalachian Montane Spruce-Fir Forest,Spruce-Fir-Hardwood Forest
1,2,788,305626,7302,Montane Yellow Birch-Red Spruce Forest,Terrestrial,Laurentian-Acadian Northern Hardwoods Forest,Yellow Birch-Sugar Maple Forest
2,3,9131,305344,7374,Montane Spruce-Fir Forest,Terrestrial,Acadian-Appalachian Montane Spruce-Fir Forest,Spruce-Fir-Hardwood Forest
3,4,7,305344,7906,Montane Spruce-Fir Forest,Terrestrial,Eastern Cool Temperate Urban Evergreen Forest,Developed-Upland Evergreen Forest
4,5,1310,305626,7932,Montane Yellow Birch-Red Spruce Forest,Terrestrial,Eastern Cool Temperate Developed Ruderal Mixed Forest,Developed-Upland Mixed Forest
5,6,507,305344,7389,Montane Spruce-Fir Forest,Terrestrial,Acadian-Appalachian Subalpine Woodland,Alpine-Subalpine Barrens
6,7,18,305344,7386,Montane Spruce-Fir Forest,Terrestrial,Acadian-Appalachian Alpine Tundra Shrubland,Alpine-Subalpine Barrens
7,8,9,305626,7909,Montane Yellow Birch-Red Spruce Forest,Terrestrial,Eastern Cool Temperate Urban Shrubland,Developed-Upland Shrubland
8,9,437,305344,7289,Montane Spruce-Fir Forest,Terrestrial,Acadian-Appalachian Subalpine Heath-Krummholz,Alpine-Subalpine Barrens
9,10,857,305344,7932,Montane Spruce-Fir Forest,Terrestrial,Eastern Cool Temperate Developed Ruderal Mixed Forest,Developed-Upland Mixed Forest
10,11,36,305344,9817,Montane Spruce-Fir Forest,Terrestrial,Northern & Central Ruderal Meadow,Introduced Perennial Grassland and Forbland
11,12,367,305626,7930,Montane Yellow Birch-Red Spruce Forest,Terrestrial,Eastern Cool Temperate Developed Ruderal Deciduous Forest,Developed-Upland Deciduous Forest
12,13,14,305626,7289,Montane Yellow Birch-Red Spruce Forest,Terrestrial,Acadian-Appalachian Subalpine Heath-Krummholz,Alpine-Subalpine Barrens
13,14,21,305344,7302,Montane Spruce-Fir Forest,Terrestrial,Laurentian-Acadian Northern Hardwoods Forest,Yellow Birch-Sugar Maple Forest
14,15,7,305344,7930,Montane Spruce-Fir Forest,Terrestrial,Eastern Cool Temperate Developed Ruderal Deciduous Forest,Developed-Upland Deciduous Forest
15,16,1,305626,9317,Montane Yellow Birch-Red Spruce Forest,Terrestrial,Northern & Central Ruderal Shrubland,Introduced Upland Vegetation-Shrub
16,17,2,305344,7907,Montane Spruce-Fir Forest,Terrestrial,Eastern Cool Temperate Urban Mixed Forest,Developed-Upland Mixed Forest
17,18,2,305344,7905,Montane Spruce-Fir Forest,Terrestrial,Eastern Cool Temperate Urban Deciduous Forest,Developed-Upland Deciduous Forest
18,19,3,305344,7909,Montane Spruce-Fir Forest,Terrestrial,Eastern Cool Temperate Urban Shrubland,Developed-Upland Shrubland
19,20,4,305626,7907,Montane Yellow Birch-Red Spruce Forest,Terrestrial,Eastern Cool Temperate Urban Mixed Forest,Developed-Upland Mixed Forest
20,21,4,305344,7296,Montane Spruce-Fir Forest,Terrestrial,Developed-Low Intensity,Developed-Low Intensity
21,22,1,305626,7905,Montane Yellow Birch-Red Spruce Forest,Terrestrial,Eastern Cool Temperate Urban Deciduous Forest,Developed-Upland Deciduous Forest
22,23,2,305626,7465,Montane Yellow Birch-Red Spruce Forest,Terrestrial,Acadian Sub-Boreal Spruce Flat,Spruce Flats and Barrens
23,24,7,305626,7906,Montane Yellow Birch-Red Spruce Forest,Terrestrial,Eastern Cool Temperate Urban Evergreen Forest,Developed-Upland Evergreen Forest
24,25,1,306244,7299,Red Oak-Northern Hardwood Forest,Terrestrial,Developed-Roads,Developed-Roads
25,26,5,306244,7930,Red Oak-Northern Hardwood Forest,Terrestrial,Eastern Cool Temperate Developed Ruderal Deciduous Forest,Developed-Upland Deciduous Forest
26,27,1,306244,7908,Red Oak-Northern Hardwood Forest,Terrestrial,Eastern Cool Temperate Urban Herbaceous,Developed-Upland Herbaceous
27,28,2,305626,7908,Montane Yellow Birch-Red Spruce Forest,Terrestrial,Eastern Cool Temperate Urban Herbaceous,Developed-Upland Herbaceous
28,29,2,307836,9312,Sugar Maple Floodplain Forest,Palustrine,Northeastern North American Temperate Forest Plantation,Managed Tree Plantation
29,30,1,307836,9118,Sugar Maple Floodplain Forest,Palustrine,Laurentian-Acadian Freshwater Marsh,Inland Marshes and Prairies
30,31,3,307836,7292,Sugar Maple Floodplain Forest,Palustrine,Open Water,Open Water
31,32,6,307836,9117,Sugar Maple Floodplain Forest,Palustrine,Laurentian-Acadian Floodplain Forest,Eastern Floodplain Forests
32,33,98,307836,7302,Sugar Maple Floodplain Forest,Palustrine,Laurentian-Acadian Northern Hardwoods Forest,Yellow Birch-Sugar Maple Forest
33,34,3,307836,7240,Sugar Maple Floodplain Forest,Palustrine,Laurentian-Acadian Hardwood Forest,Pine-Hemlock-Hardwood Forest
34,35,24,307836,7241,Sugar Maple Floodplain Forest,Palustrine,Laurentian-Acadian Pine-Hemlock-Hardwood Forest,Pine-Hemlock-Hardwood Forest
35,36,4,307836,7366,Sugar Maple Floodplain Forest,Palustrine,Laurentian-Acadian Pine-Hemlock Forest,Pine-Hemlock-Hardwood Forest
36,37,7,305626,7389,Montane Yellow Birch-Red Spruce Forest,Terrestrial,Acadian-Appalachian Subalpine Woodland,Alpine-Subalpine Barrens
37,38,2,305626,9686,Montane Yellow Birch-Red Spruce Forest,Terrestrial,Northern Appalachian-Acadian Rocky Heath Outcrop Shrubland,Alpine-Subalpine Barrens
38,39,3,305344,9186,Montane Spruce-Fir Forest,Terrestrial,Northern Appalachian-Acadian Rocky Heath Outcrop Woodland,Alpine-Subalpine Barrens
39,40,63,300599,7241,Hemlock Forest,Terrestrial,Laurentian-Acadian Pine-Hemlock-Hardwood Forest,Pine-Hemlock-Hardwood Forest
40,41,126,300599,7366,Hemlock Forest,Terrestrial,Laurentian-Acadian Pine-Hemlock Forest,Pine-Hemlock-Hardwood Forest
41,42,1,305344,9317,Montane Spruce-Fir Forest,Terrestrial,Northern & Central Ruderal Shrubland,Introduced Upland Vegetation-Shrub
42,43,835,308414,7302,Northern Hardwood Forest,Terrestrial,Laurentian-Acadian Northern Hardwoods Forest,Yellow Birch-Sugar Maple Forest
43,44,2,307836,7373,Sugar Maple Floodplain Forest,Palustrine,Acadian Low-Elevation Spruce-Fir Forest,Spruce-Fir-Hardwood Forest
44,45,5,300599,7240,Hemlock Forest,Terrestrial,Laurentian-Acadian Hardwood Forest,Pine-Hemlock-Hardwood Forest
45,46,50,308414,7240,Northern Hardwood Forest,Terrestrial,Laurentian-Acadian Hardwood Forest,Pine-Hemlock-Hardwood Forest
46,47,11,300599,7373,Hemlock Forest,Terrestrial,Acadian Low-Elevation Spruce-Fir Forest,Spruce-Fir-Hardwood Forest
47,48,82,308414,7554,Northern Hardwood Forest,Terrestrial,Acadian Low-Elevation Hardwood Forest,Spruce-Fir-Hardwood Forest
48,49,18,308414,7238,Northern Hardwood Forest,Terrestrial,Laurentian-Acadian Northern Oak Forest,Red Pine-White Pine Forest and Woodland
49,50,13,300599,9312,Hemlock Forest,Terrestrial,Northeastern North American Temperate Forest Plantation,Managed Tree Plantation
50,51,16,308414,7241,Northern Hardwood Forest,Terrestrial,Laurentian-Acadian Pine-Hemlock-Hardwood Forest,Pine-Hemlock-Hardwood Forest
51,52,116,300599,7362,Hemlock Forest,Terrestrial,Laurentian-Acadian Northern Pine Forest,Red Pine-White Pine Forest and Woodland
52,53,26,300599,7302,Hemlock Forest,Terrestrial,Laurentian-Acadian Northern Hardwoods Forest,Yellow Birch-Sugar Maple Forest
53,54,7,308506,7366,Dry Red Oak-White Pine Forest,Terrestrial,Laurentian-Acadian Pine-Hemlock Forest,Pine-Hemlock-Hardwood Forest
54,55,15,308506,7362,Dry Red Oak-White Pine Forest,Terrestrial,Laurentian-Acadian Northern Pine Forest,Red Pine-White Pine Forest and Woodland
55,56,1,300599,7554,Hemlock Forest,Terrestrial,Acadian Low-Elevation Hardwood Forest,Spruce-Fir-Hardwood Forest
56,57,7,301546,7302,Temperate Acidic Cliff,Terrestrial,Laurentian-Acadian Northern Hardwoods Forest,Yellow Birch-Sugar Maple Forest
57,58,46,301546,7362,Temperate Acidic Cliff,Terrestrial,Laurentian-Acadian Northern Pine Forest,Red Pine-White Pine Forest and Woodland
58,59,2,308506,7241,Dry Red Oak-White Pine Forest,Terrestrial,Laurentian-Acadian Pine-Hemlock-Hardwood Forest,Pine-Hemlock-Hardwood Forest
59,60,54,305908,7302,Northern Hardwood Talus Woodland,Terrestrial,Laurentian-Acadian Northern Hardwoods Forest,Yellow Birch-Sugar Maple Forest
60,61,138,305908,7362,Northern Hardwood Talus Woodland,Terrestrial,Laurentian-Acadian Northern Pine Forest,Red Pine-White Pine Forest and Woodland
61,62,7,308506,7239,Dry Red Oak-White Pine Forest,Terrestrial,Laurentian-Acadian Northern Pine-(Oak) Forest,Red Pine-White Pine Forest and Woodland
62,63,87,300599,7239,Hemlock Forest,Terrestrial,Laurentian-Acadian Northern Pine-(Oak) Forest,Red Pine-White Pine Forest and Woodland
63,64,6,308414,7239,Northern Hardwood Forest,Terrestrial,Laurentian-Acadian Northern Pine-(Oak) Forest,Red Pine-White Pine Forest and Woodland
64,65,1,308414,7362,Northern Hardwood Forest,Terrestrial,Laurentian-Acadian Northern Pine Forest,Red Pine-White Pine Forest and Woodland
65,66,7,301546,7239,Temperate Acidic Cliff,Terrestrial,Laurentian-Acadian Northern Pine-(Oak) Forest,Red Pine-White Pine Forest and Woodland
66,67,30,305908,7239,Northern Hardwood Talus Woodland,Terrestrial,Laurentian-Acadian Northern Pine-(Oak) Forest,Red Pine-White Pine Forest and Woodland
67,68,1,301183,7386,Boreal Outcrop,Terrestrial,Acadian-Appalachian Alpine Tundra Shrubland,Alpine-Subalpine Barrens
68,69,20,305908,7366,Northern Hardwood Talus Woodland,Terrestrial,Laurentian-Acadian Pine-Hemlock Forest,Pine-Hemlock-Hardwood Forest
69,70,23,300599,7555,Hemlock Forest,Terrestrial,Acadian Low-Elevation Spruce-Fir-Hardwood Forest,Spruce-Fir-Hardwood Forest
70,71,9,308414,7555,Northern Hardwood Forest,Terrestrial,Acadian Low-Elevation Spruce-Fir-Hardwood Forest,Spruce-Fir-Hardwood Forest
71,72,15,305550,7362,Open Talus,Terrestrial,Laurentian-Acadian Northern Pine Forest,Red Pine-White Pine Forest and Woodland
72,73,80,300125,7362,Oak-Maple Limestone Talus Woodland,Terrestrial,Laurentian-Acadian Northern Pine Forest,Red Pine-White Pine Forest and Woodland
73,74,11,300125,7302,Oak-Maple Limestone Talus Woodland,Terrestrial,Laurentian-Acadian Northern Hardwoods Forest,Yellow Birch-Sugar Maple Forest
