"","BPS_ID","EVT_ID","freq","acres","GROUPVEG","bps_acres","EVT_PHYS","evt_acres"
"1",11,7292,29001,6450,"BPS  Open Water",6449.66714934542,"EVT  Open Water",6449.66714934542
"2",31,9115,13,3,"BPS  Barren-Rock/Sand/Clay",2.89113040727873,"EVT  Sparsely Vegetated",2.89113040727873
"3",1920,7191,1956,435,"BPS  Hardwood",639042.788730028,"EVT  Grassland",565.99437588649
"4",1920,7192,851,189,"BPS  Hardwood",639042.788730028,"EVT  Shrubland",221.505068126893
"5",1920,7193,1561,347,"BPS  Hardwood",639042.788730028,"EVT  Conifer",427.664905630538
"6",1920,7195,256,57,"BPS  Hardwood",639042.788730028,"EVT  Grassland",144.556520363936
"7",1920,7196,106,24,"BPS  Hardwood",639042.788730028,"EVT  Shrubland",26.2425683122223
"8",1920,7197,286,64,"BPS  Hardwood",639042.788730028,"EVT  Conifer",70.9438923016858
"9",1920,7198,119,26,"BPS  Hardwood",639042.788730028,"EVT  Grassland",30.912855893211
"10",1920,7199,1,0,"BPS  Hardwood",639042.788730028,"EVT  Shrubland",0.444789293427497
"11",1920,7200,584,130,"BPS  Hardwood",639042.788730028,"EVT  Conifer",133.881577321677
"12",1920,7238,8977,1996,"BPS  Hardwood",639042.788730028,"EVT  Hardwood",4387.62398501554
"13",1920,7239,6909,1537,"BPS  Hardwood",639042.788730028,"EVT  Conifer-Hardwood",3953.06484533688
"14",1920,7240,33267,7398,"BPS  Hardwood",639042.788730028,"EVT  Hardwood",12398.9463435849
"15",1920,7241,72248,16068,"BPS  Hardwood",639042.788730028,"EVT  Conifer-Hardwood",32232.5457268104
"16",1920,7288,7,2,"BPS  Hardwood",639042.788730028,"EVT  Grassland",2.44634111385123
"17",1920,7289,218,48,"BPS  Hardwood",639042.788730028,"EVT  Shrubland",196.152078401526
"18",1920,7295,220,49,"BPS  Hardwood",639042.788730028,"EVT  Quarries-Strip Mines-Gravel Pits-Well and Wind Pads",208.161389324069
"19",1920,7296,10748,2390,"BPS  Hardwood",639042.788730028,"EVT  Developed-Low Intensity",4726.5534266073
"20",1920,7297,4852,1079,"BPS  Hardwood",639042.788730028,"EVT  Developed-Medium Intensity",2332.69744938051
"21",1920,7298,855,190,"BPS  Hardwood",639042.788730028,"EVT  Developed-High Intensity",476.591727907563
"22",1920,7299,47972,10669,"BPS  Hardwood",639042.788730028,"EVT  Developed-Roads",17688.6030156714
"23",1920,7302,2059769,458082,"BPS  Hardwood",639042.788730028,"EVT  Hardwood",531619.280133239
"24",1920,7303,1121,249,"BPS  Hardwood",639042.788730028,"EVT  Hardwood",670.297465195238
"25",1920,7362,6844,1522,"BPS  Hardwood",639042.788730028,"EVT  Conifer",4490.81510109072
"26",1920,7366,25077,5577,"BPS  Hardwood",639042.788730028,"EVT  Conifer",17961.7036418359
"27",1920,7369,327,73,"BPS  Hardwood",639042.788730028,"EVT  Conifer",185.921924652694
"28",1920,7370,219,49,"BPS  Hardwood",639042.788730028,"EVT  Conifer",185.254740712552
"29",1920,7373,48290,10739,"BPS  Hardwood",639042.788730028,"EVT  Conifer",15018.5328872261
"30",1920,7374,252762,56213,"BPS  Hardwood",639042.788730028,"EVT  Conifer-Hardwood",75380.2207143316
"31",1920,7377,28,6,"BPS  Hardwood",639042.788730028,"EVT  Conifer",34.2487755939173
"32",1920,7386,18,4,"BPS  Hardwood",639042.788730028,"EVT  Shrubland",11.1197323356874
"33",1920,7389,178,40,"BPS  Hardwood",639042.788730028,"EVT  Conifer",256.865816954379
"34",1920,7463,7746,1723,"BPS  Hardwood",639042.788730028,"EVT  Hardwood",3436.66447566755
"35",1920,7465,974,217,"BPS  Hardwood",639042.788730028,"EVT  Conifer",383.630765581216
"36",1920,7481,2998,667,"BPS  Hardwood",639042.788730028,"EVT  Riparian",4470.35479359306
"37",1920,7502,478,106,"BPS  Hardwood",639042.788730028,"EVT  Conifer-Hardwood",443.010136253787
"38",1920,7511,1112,247,"BPS  Hardwood",639042.788730028,"EVT  Hardwood",668.0735187281
"39",1920,7512,715,159,"BPS  Hardwood",639042.788730028,"EVT  Conifer-Hardwood",626.263325145916
"40",1920,7554,14424,3208,"BPS  Hardwood",639042.788730028,"EVT  Hardwood",3785.156887068
"41",1920,7555,73958,16448,"BPS  Hardwood",639042.788730028,"EVT  Conifer-Hardwood",20386.6948696026
"42",1920,7556,340,76,"BPS  Hardwood",639042.788730028,"EVT  Hardwood",106.082246482458
"43",1920,7557,33,7,"BPS  Hardwood",639042.788730028,"EVT  Conifer-Hardwood",19.7931235575236
"44",1920,7905,18060,4016,"BPS  Hardwood",639042.788730028,"EVT  Developed",5511.38413486011
"45",1920,7906,3493,777,"BPS  Hardwood",639042.788730028,"EVT  Developed",1579.44678096104
"46",1920,7907,11435,2543,"BPS  Hardwood",639042.788730028,"EVT  Developed",3906.36196952699
"47",1920,7908,10811,2404,"BPS  Hardwood",639042.788730028,"EVT  Developed",4454.11998438295
"48",1920,7909,4504,1002,"BPS  Hardwood",639042.788730028,"EVT  Developed",1431.99913018983
"49",1920,7930,28251,6283,"BPS  Hardwood",639042.788730028,"EVT  Developed",8803.26969551702
"50",1920,7931,3051,679,"BPS  Hardwood",639042.788730028,"EVT  Developed",2155.44891594965
"51",1920,7932,7190,1599,"BPS  Hardwood",639042.788730028,"EVT  Developed",3118.19534157347
"52",1920,7933,2754,612,"BPS  Hardwood",639042.788730028,"EVT  Developed",1010.33888002056
"53",1920,7934,3971,883,"BPS  Hardwood",639042.788730028,"EVT  Developed",1964.41191442254
"54",1920,7952,194,43,"BPS  Hardwood",639042.788730028,"EVT  Developed",859.777704195351
"55",1920,7953,9,2,"BPS  Hardwood",639042.788730028,"EVT  Developed",60.9361331995671
"56",1920,7954,19,4,"BPS  Hardwood",639042.788730028,"EVT  Developed",136.105523788814
"57",1920,7970,1371,305,"BPS  Hardwood",639042.788730028,"EVT  Agricultural",443.454925547214
