"","VALUE","COUNT","CLASSNAMES","acres","hectare","rel_percent","RED","GREEN","BLUE","R","G","B"
"1",187,135704,"Tree Cover = 87%",30179.8431376425,12213.36,3.53723119334113,0.05098,0.301961,0.027451,"13","77","7"
"2",175,124966,"Tree Cover = 75%",27791.7694212303,11246.94,3.25733680147282,0.121569,0.411765,0.070588,"31","105","18"
"3",178,121558,"Tree Cover = 78%",27033.8484652298,10940.22,3.16850460856099,0.101961,0.380392,0.058824,"26","97","15"
"4",177,120763,"Tree Cover = 77%",26857.0447210924,10868.67,3.14778231003843,0.101961,0.388235,0.058824,"26","99","15"
"5",179,120134,"Tree Cover = 79%",26717.1584883095,10812.06,3.13138693171051,0.090196,0.368627,0.05098,"23","94","13"
"6",176,119535,"Tree Cover = 76%",26583.9440949279,10758.15,3.11577352691175,0.109804,0.4,0.062745,"28","102","16"
"7",180,118018,"Tree Cover = 80%",26246.5714158632,10621.62,3.07623173212089,0.086275,0.368627,0.047059,"22","94","12"
"8",181,113475,"Tree Cover = 81%",25236.2325358426,10212.75,2.95781487402276,0.082353,0.360784,0.047059,"21","92","12"
"9",174,112334,"Tree Cover = 74%",24982.4802439422,10110.06,2.92807381413063,0.12549,0.419608,0.070588,"32","107","18"
"10",182,107804,"Tree Cover = 82%",23975.0324943289,9702.36,2.80999581122846,0.07451,0.34902,0.043137,"19","89","11"
"11",173,107388,"Tree Cover = 73%",23882.516321296,9664.92,2.79915244495754,0.129412,0.431373,0.078431,"33","110","20"
"12",172,101894,"Tree Cover = 72%",22660.6801322507,9170.46,2.65594702598524,0.141176,0.439216,0.082353,"36","112","21"
"13",183,100453,"Tree Cover = 83%",22340.2094463362,9040.77,2.61838623080157,0.066667,0.341176,0.039216,"17","87","10"
"14",171,96520,"Tree Cover = 71%",21465.531300811,8686.8,2.51586950112956,0.145098,0.45098,0.086275,"37","115","22"
"15",184,90838,"Tree Cover = 84%",20201.8849181835,8175.42,2.36776371470791,0.066667,0.329412,0.035294,"17","84","9"
"16",170,90444,"Tree Cover = 70%",20114.2614273783,8139.96,2.35749379569169,0.152941,0.458824,0.090196,"39","117","23"
"17",185,84964,"Tree Cover = 85%",18895.5387633869,7646.76,2.21465329769967,0.054902,0.321569,0.031373,"14","82","8"
"18",169,84439,"Tree Cover = 69%",18778.7815738622,7599.51,2.20096876093948,0.164706,0.458824,0.098039,"42","117","25"
"19",25,79537,"Developed-Roads",17688.6030156714,7158.33,2.07319428627582,0.003921,0.003921,0.003921,"1","1","1"
"20",168,79331,"Tree Cover = 68%",17642.7897184484,7139.79,2.06782473470896,0.168627,0.470588,0.098039,"43","120","25"
"21",165,74566,"Tree Cover = 65%",16583.0792268574,6710.94,1.9436212724951,0.192157,0.501961,0.113725,"49","128","29"
"22",167,74272,"Tree Cover = 67%",16517.6952007235,6684.48,1.93595793190939,0.172549,0.478431,0.105882,"44","122","27"
"23",186,69784,"Tree Cover = 86%",15519.5880262722,6280.56,1.81897469194804,0.05098,0.309804,0.027451,"13","79","7"
"24",166,69284,"Tree Cover = 66%",15408.3907029153,6235.56,1.80594179979549,0.188235,0.490196,0.113725,"48","125","29"
"25",164,61291,"Tree Cover = 64%",13630.7902917324,5516.19,1.59759798584472,0.2,0.509804,0.121569,"51","130","31"
"26",163,57629,"Tree Cover = 63%",12816.3810954666,5186.61,1.50214508371939,0.215686,0.521569,0.129412,"55","133","33"
"27",162,54464,"Tree Cover = 62%",12112.5020386176,4901.76,1.4196468763937,0.219608,0.529412,0.133333,"56","135","34"
"28",161,51324,"Tree Cover = 61%",11414.1828479364,4619.16,1.33780031367565,0.227451,0.541176,0.141176,"58","138","36"
