source,target,value
Northern Hardwood Forest,Laurentian-Acadian Northern Hardwoods Forest,97.31355139
Northern Hardwood Forest,Acadian-Appalachian Montane Spruce-Fir Forest,2.686448611
Montane Yellow Birch-Red Spruce Forest,Acadian-Appalachian Montane Spruce-Fir Forest,85.73800707
Montane Yellow Birch-Red Spruce Forest,Laurentian-Acadian Northern Hardwoods Forest,14.26199293
Montane Spruce-Fir Forest,Acadian-Appalachian Montane Spruce-Fir Forest,98.45957477
Montane Spruce-Fir Forest,Eastern Cool Temperate Developed Ruderal Mixed Forest,1.540425234
Red Oak-Northern Hardwood Forest,Laurentian-Acadian Northern Hardwoods Forest,88.42450534
Red Oak-Northern Hardwood Forest,Central Appalachian Dry Oak Forest,5.078827637
Red Oak-Northern Hardwood Forest,Laurentian-Acadian Northern Oak Forest,2.028004091
Red Oak-Northern Hardwood Forest,Laurentian-Acadian Pine-Hemlock-Hardwood Forest,1.908087328
Red Oak-Northern Hardwood Forest,Laurentian-Acadian Hardwood Forest,1.428420273
Red Oak-Northern Hardwood Forest,Northeastern Interior Dry-Mesic Oak Forest,1.132155327
Rich Northern Hardwood Forest,Laurentian-Acadian Northern Hardwoods Forest,97.9454171
Rich Northern Hardwood Forest,Acadian-Appalachian Montane Spruce-Fir Forest,2.054582904
Dry Oak Forest,Laurentian-Acadian Northern Hardwoods Forest,70.28024178
Dry Oak Forest,Central Appalachian Dry Oak Forest,13.99638904
Dry Oak Forest,Laurentian-Acadian Northern Oak Forest,9.576889866
Dry Oak Forest,Laurentian-Acadian Hardwood Forest,2.982965696
Dry Oak Forest,Laurentian-Acadian Northern Pine-(Oak) Forest,1.585681765
Dry Oak Forest,Laurentian-Acadian Pine-Hemlock-Hardwood Forest,1.577831855
Red Spruce-Heath Rocky Ridge,Acadian-Appalachian Montane Spruce-Fir Forest,50.35367659
Red Spruce-Heath Rocky Ridge,Northern Appalachian-Acadian Rocky Heath Outcrop Woodland,25.49761474
Red Spruce-Heath Rocky Ridge,Acadian Low-Elevation Spruce-Fir Forest,18.32538246
Red Spruce-Heath Rocky Ridge,Acadian Low-Elevation Spruce-Fir-Hardwood Forest,2.599111696
Red Spruce-Heath Rocky Ridge,Northern Appalachian-Acadian Conifer-Hardwood Acidic Swamp,1.760157921
Red Spruce-Heath Rocky Ridge,Laurentian-Acadian Pine-Hemlock Forest,1.464056588
Red Spruce-Northern Hardwood Forest,Laurentian-Acadian Northern Hardwoods Forest,50.68467802
Red Spruce-Northern Hardwood Forest,Acadian-Appalachian Montane Spruce-Fir Forest,42.2649889
Red Spruce-Northern Hardwood Forest,Acadian Low-Elevation Spruce-Fir Forest,2.775721688
Red Spruce-Northern Hardwood Forest,Acadian Low-Elevation Hardwood Forest,1.831976314
Red Spruce-Northern Hardwood Forest,Laurentian-Acadian Hardwood Forest,1.221317543
Red Spruce-Northern Hardwood Forest,Acadian Low-Elevation Spruce-Fir-Hardwood Forest,1.221317543
Hemlock Forest,Laurentian-Acadian Pine-Hemlock Forest,23.69540873
Hemlock Forest,Acadian Low-Elevation Spruce-Fir Forest,19.82082867
Hemlock Forest,Laurentian-Acadian Pine-Hemlock-Hardwood Forest,17.1556551
Hemlock Forest,Laurentian-Acadian Northern Pine Forest,12.87793953
Hemlock Forest,Laurentian-Acadian Northern Hardwoods Forest,7.816349384
Hemlock Forest,Acadian Low-Elevation Spruce-Fir-Hardwood Forest,6.159014558
Hemlock Forest,Laurentian-Acadian Northern Pine-(Oak) Forest,5.979843225
Hemlock Forest,Laurentian-Acadian Hardwood Forest,3.829787234
Hemlock Forest,Northern Appalachian-Acadian Rocky Heath Outcrop Woodland,1.522956327
Hemlock Forest,Laurentian-Acadian Northern Oak Forest,1.142217245
Hemlock-Northern Hardwood Forest,Laurentian-Acadian Northern Hardwoods Forest,56.94194014
Hemlock-Northern Hardwood Forest,Laurentian-Acadian Pine-Hemlock-Hardwood Forest,13.66750811
Hemlock-Northern Hardwood Forest,Laurentian-Acadian Hardwood Forest,7.104219257
Hemlock-Northern Hardwood Forest,Laurentian-Acadian Pine-Hemlock Forest,6.382978723
Hemlock-Northern Hardwood Forest,Acadian Low-Elevation Spruce-Fir-Hardwood Forest,5.625676163
Hemlock-Northern Hardwood Forest,Laurentian-Acadian Northern Pine-(Oak) Forest,3.425892535
Hemlock-Northern Hardwood Forest,Acadian Low-Elevation Spruce-Fir Forest,2.921024162
Hemlock-Northern Hardwood Forest,Laurentian-Acadian Northern Pine Forest,1.983411468
Hemlock-Northern Hardwood Forest,Northeastern North American Temperate Forest Plantation,1.947349441
